VillageAll,GPS.point,admin1Name,admin1Pcod,admin2,admin2Pcod,admin3Name,admin3Pcod,TotalPop_fixe
 Bounguele,"16.759423,3.934452",Sangha-Mbaéré,CF23,Bambio,CF232,Mbaéré,CF2321,293.571142
Bandakpa,"25.157708,5.03676",Haut-Mbomou,CF63,Zémio,CF633,Zémio,CF6331,1159.744498
 Boyali 1,"16.483485,6.174845",Ouham Pendé,CF31,Bossemtélé,CF316,Binon,CF3161,575.647029
Bandassi,"25.15613,5.049274",Haut-Mbomou,CF63,Zémio,CF633,Zémio,CF6331,1647.043767
 Boyidou,"21.2748719999999,4.668672",Basse-Kotto,CF61,Mobaye,CF611,Mbéima,CF6112,1242.669192
 Boymasse,"22.7279279999999,4.914024",Mbomou,CF62,Bangassou,CF621,Sayo Niakari,CF6212,1182.100809
 Bozambo,"17.83096,3.733962",Lobaye,CF12,Mbaiki,CF121,Moboma,CF1217,1795.594984
 Brousse,"15.1867249999999,5.775097",Nana-Mambéré,CF22,Baboua,CF223,Fo,CF2235,280.047115
 Camp Cotonaf,"19.405764,5.124114",Kémo,CF41,Ndjoukou,CF414,Galabadja,CF4142,1422.187681
 Camp-Mawa,"15.57978,5.880811",Nana-Mambéré,CF22,Bouar,CF221,Herman-Brousse,CF2213,776.86445
 Captara,"15.095347,6.301676",Nana-Mambéré,CF22,Baboua,CF223,Goudrot,CF2232,860.687377
 Cotonaf,"19.106742,6.262475",Kémo,CF41,Dékoa,CF412,Guiffa,CF4123,720.001113
 Dakoyo,"18.139952,7.478576",Ouham,CF32,Batangafo,CF326,Bakassa,CF3265,433.276379
 Damba,"20.967192,4.629834",Basse-Kotto,CF61,Zangba,CF615,Ouambé,CF6151,389.624044
 Dao-Bac,"18.1589519999999,6.632026",Ouham,CF32,Bouca,CF325,Ouham Fafa,CF3253,639.051
 Dar Zaraf,"22.459467,10.366139",Vakaga,CF53,Birao,CF531,Ridina,CF5311,265.238529
 Dede Makouba,"15.241915,3.930408",Mambéré-Kadéi,CF21,Dédé-Mokouba,CF216,Haute-Kadéi,CF2161,617.602529
 Deko Mbimbi,"19.612406,5.15212",Kémo,CF41,Ndjoukou,CF414,Galabadja,CF4142,823.74237
 Dena,"20.544504,4.60288",Ouaka,CF43,Kouango,CF434,Cochio-Toulou,CF4343,490.510147
 Dengbe,"16.7501019999999,4.419418",Mambéré-Kadéi,CF21,Carnot,CF213,Senkpa-Mbaéré,CF2132,924.105956
Tamboura,"25.202438,5.160494",Haut-Mbomou,CF63,Zémio,CF633,Zémio,CF6331,1306.89049
 Dingadigui,"22.692712,4.785761",Mbomou,CF62,Bangassou,CF621,Sayo Niakari,CF6212,824.721494
 Djaindola 2,"19.1384119999999,5.978469",Kémo,CF41,Sibut,CF411,Ngoumbele,CF4112,767.08887
 Djembe,"15.846601,4.90937",Mambéré-Kadéi,CF21,Carnot,CF213,Carnot,CF2131,1638.203793
 Djouda 1,"19.236778,5.079775",Kémo,CF41,Ndjoukou,CF414,Galafondo,CF4141,1097.084837
 Domale,"16.1658329999999,3.683034",Sangha-Mbaéré,CF23,Nola,CF231,Nola,CF2311,756.800408
 Dongbe 1,"18.5798859999999,5.09926",Ombella M'Poko,CF11,Damara,CF112,Damara,CF1121,338.705776
 Dongo,"15.300319,4.229319",Mambéré-Kadéi,CF21,Gamboula,CF212,Basse-Boumné,CF2121,666.801978
 Dongue Boyombo,"15.563039,5.130691",Nana-Mambéré,CF22,Abba,CF224,Nadziboro,CF2242,395.674253
 Donlogo,"15.6959219999999,4.228963",Mambéré-Kadéi,CF21,Berbérati,CF211,Ouakanga,CF2113,1414.573108
 Dori,"15.289197,3.9077",Mambéré-Kadéi,CF21,Dédé-Mokouba,CF216,Haute-Kadéi,CF2161,3078.051315
 Dougba,"21.27015,4.632717",Basse-Kotto,CF61,Mobaye,CF611,Mbéima,CF6112,1448.352368
 Douma,"23.040676,4.752405",Mbomou,CF62,Bangassou,CF621,Zangandou,CF6214,303.858706
 Doungba 4,"20.448902,4.950704",Ouaka,CF43,Kouango,CF434,Cochio-Toulou,CF4343,477.429877
 Fadama,"22.7583899999999,5.723679",Mbomou,CF62,Bakouma,CF625,Bakouma,CF6251,1064.157161
 Forodoungou,"20.509532,4.971569",Ouaka,CF43,Kouango,CF434,Cochio-Toulou,CF4343,784.816236
 Foungou,"20.588874,4.583997",Basse-Kotto,CF61,Zangba,CF615,Yabongo,CF6152,409.727683
 Galoy bokoy,"15.384247,5.562402",Nana-Mambéré,CF22,Baboua,CF223,Bingué,CF2233,1143.120211
 Garga Zallo,"15.00536,6.343766",Nana-Mambéré,CF22,Baboua,CF223,Goudrot,CF2232,404.023038
 Gba,"18.606138,4.700808",Ombella M'Poko,CF11,Damara,CF112,Damara,CF1121,898.14116
 Gbabi 1,"21.213546,4.40115",Basse-Kotto,CF61,Mobaye,CF611,Mbéima,CF6112,1079.836677
 Gbaboua,"15.188069,5.581446",Nana-Mambéré,CF22,Baboua,CF223,Fo,CF2235,291.477609
 Gbada,"20.0592539999999,5.067707",Ouaka,CF43,Kouango,CF434,Azéngué-Mindou,CF4342,1689.438891
 Gbadou,"18.52449,6.840677",Ouham,CF32,Bouca,CF325,Lady Gbawi,CF3252,560.536544
 Gbagaza,"15.096651,5.376155",Nana-Mambéré,CF22,Abba,CF224,Abba,CF2241,835.196586
 Gbagomara,"20.020814,4.980583",Ouaka,CF43,Kouango,CF434,Kouango,CF4341,575.589789
 Gbahao,"18.145242,4.762233",Ombella M'Poko,CF11,Boali,CF114,Boali,CF1141,820.393236
 Gbali Tembo,"22.01311,4.248394",Basse-Kotto,CF61,Satéma,CF616,Kotto-Oubangui,CF6161,644.77571
 Gbama 3,"21.713676,4.5008",Basse-Kotto,CF61,Kembé,CF613,Mboui,CF6132,682.690174
 Gbama 4,"21.202658,4.697177",Basse-Kotto,CF61,Mobaye,CF611,Mbéima,CF6112,1045.556147
 Gbambia,"14.9855579999999,4.791097",Mambéré-Kadéi,CF21,Amada-Gaza,CF214,Haute-Boumbé,CF2141,2645.272443
 Gbanli,"18.249044,5.627105",Ombella M'Poko,CF11,Bogangolo,CF113,Bogangolo,CF1131,256.546621
 Gbaya 2,"18.5660379999999,4.649842",Ombella M'Poko,CF11,Damara,CF112,Damara,CF1121,1914.258488
 Gbaza,"21.1930669999999,6.236308",Ouaka,CF43,Ippy,CF435,Ippy,CF4351,1959.704772
 Gbazanga,"19.670518,5.150798",Kémo,CF41,Ndjoukou,CF414,Galabadja,CF4142,556.202113
 Gbegon,"18.97184,6.385235",Kémo,CF41,Dékoa,CF412,Dekoa,CF4121,552.580019
 Gbele,"18.68164,4.906231",Ombella M'Poko,CF11,Damara,CF112,Damara,CF1121,517.572872
 Gbiangora,"19.621582,5.209932",Kémo,CF41,Ndjoukou,CF414,Galabadja,CF4142,429.472518
 Gbombe,"22.748678,4.832464",Mbomou,CF62,Bangassou,CF621,Sayo Niakari,CF6212,1259.074815
 Gomoko,"18.27533,4.642701",Ombella M'Poko,CF11,Boali,CF114,Boali,CF1141,1019.79437
 Gou 2,"19.134488,6.408298",Kémo,CF41,Dékoa,CF412,Tilo,CF4122,416.064552
 Gouada,"22.0362879999999,4.353392",Basse-Kotto,CF61,Satéma,CF616,Kotto-Oubangui,CF6161,443.283301
 Gouadje 2,"20.943788,4.482914",Basse-Kotto,CF61,Zangba,CF615,Ouambé,CF6151,744.460228
 Gouhoutou,"19.756544,5.75123",Ouaka,CF43,Grimari,CF433,Kobadja,CF4332,677.54315
 Gounouma 2,"21.234276,5.159016",Basse-Kotto,CF61,Alindao,CF612,Bangui-Ketté,CF6123,1139.000813
 Goussouma,"19.6281819999999,5.788247",Ouaka,CF43,Grimari,CF433,Kobadja,CF4332,4353.507813
 Gpmt Houssem,"17.482606,6.937428",Ouham,CF32,Nana-Bakassa,CF322,Nana-Bakassa,CF3221,1396.265155
 Gpt Bolio,"17.419974,7.037436",Ouham,CF32,Nana-Bakassa,CF322,Nana-Bakassa,CF3221,2836.507165
 Gpt Djoubissi,"20.7501399999999,6.181963",Ouaka,CF43,Bambari,CF431,Danga-Gboudou,CF4312,366.302011
 Gpt Kaboro,"17.528054,6.968749",Ouham,CF32,Nana-Bakassa,CF322,Nana-Bakassa,CF3221,2187.84855
 Gpt Kouki,"17.2980899999999,7.156851",Ouham,CF32,Nana-Bakassa,CF322,Nana-Bakassa,CF3221,6915.360492
 Groupement Douane,"15.267158,6.518254",Nana-Mambéré,CF22,Bouar,CF221,Niem-Yelewa,CF2212,1844.876729
 Groupement Mbormon,"16.1548139999999,5.609761",Nana-Mambéré,CF22,Baoro,CF222,Bawi Tédoa,CF2221,953.917458
 Guerengou-Pont,"18.5302539999999,4.580375",Ombella M'Poko,CF11,Bimbo,CF111,Bimbo,CF1111,975.499635
 Guigui Banda,"19.60164,5.312913",Kémo,CF41,Ndjoukou,CF414,Galabadja,CF4142,668.850642
 Guissibanda,"19.63494,5.893393",Ouaka,CF43,Grimari,CF433,Kobadja,CF4332,451.695433
 Ikoumba,"18.607132,3.530932",Lobaye,CF12,Mongoumba,CF122,Mongoumba,CF1221,1130.467384
 Ippy,"21.1966,6.260115",Ouaka,CF43,Ippy,CF435,Ippy,CF4351,12119.89089
 Ivoro,"18.589986,3.607606",Lobaye,CF12,Mongoumba,CF122,Mongoumba,CF1221,1503.148939
 Kaeta,"15.557707,6.172659",Nana-Mambéré,CF22,Bouar,CF221,Herman-Brousse,CF2213,475.107184
 Kalamo,"17.8071279999999,7.516417",Ouham,CF32,Batangafo,CF326,Bédé,CF3262,705.421942
 Kamassougboulou,"17.806338,7.046714",Ouham,CF32,Batangafo,CF326,Bédé,CF3262,601.873767
 Kambayeke,"15.318375,3.893302",Mambéré-Kadéi,CF21,Dédé-Mokouba,CF216,Haute-Kadéi,CF2161,976.210449
 Kandjia 2,"20.0454259999999,5.489931",Ouaka,CF43,Grimari,CF433,Lissa,CF4333,1249.311519
 Kapabanda,"20.6234019999999,5.749739",Ouaka,CF43,Bambari,CF431,Pladama-Ouaka,CF4314,321.233694
 Kassa-Zoya,"15.585148,5.81985",Nana-Mambéré,CF22,Bouar,CF221,Zotoua-Bangarem,CF2214,406.420981
 Kava 2,"18.51418,7.56606",Ouham,CF32,Kabo,CF327,Ouaki,CF3272,1391.685207
 Kawa,"21.3244919999999,4.903951",Basse-Kotto,CF61,Alindao,CF612,Guiligui,CF6122,1830.274769
 Kembe,"21.890037,4.614079",Basse-Kotto,CF61,Kembé,CF613,Kembé,CF6131,8219.645855
 Kemngoyeye,"18.5705999999999,7.6412",Ouham,CF32,Kabo,CF327,Sido,CF3271,538.491352
 Kobadja,"19.927872,6.331621",Ouaka,CF43,Bakala,CF432,Koudou-Bégo,CF4321,1184.439274
 Kodi,"15.670517,7.400158",Ouham Pendé,CF31,Ngaoundaye,CF315,Lim,CF3152,1846.834404
 Kodje 1,"20.959664,4.475588",Basse-Kotto,CF61,Zangba,CF615,Ouambé,CF6151,883.611672
 Kodje 3,"20.974156,4.471018",Basse-Kotto,CF61,Zangba,CF615,Ouambé,CF6151,333.963467
 Koe,"15.183228,5.53019",Nana-Mambéré,CF22,Abba,CF224,Abba,CF2241,385.198671
 Korando,"15.225398,4.199319",Mambéré-Kadéi,CF21,Gamboula,CF212,Basse-Boumné,CF2121,516.900758
 Koropeke,"17.205794,4.748796",Lobaye,CF12,Boganangone,CF124,Boganangone,CF1241,3262.295318
 Kotissako,"20.3856019999999,8.14359",Bamingui-Bangoran,CF51,Bamingui,CF512,Vassako,CF5121,1514.617279
 Koudoukou,"20.218688,6.216192",Ouaka,CF43,Bakala,CF432,Koudou-Bégo,CF4321,1052.166868
 Kouleo,"15.887639,7.309385",Ouham Pendé,CF31,Ngaoundaye,CF315,Yémé,CF3154,864.781788
 Kouma,"19.442536,6.174604",Kémo,CF41,Mala,CF413,Mala,CF4131,1103.824739
 Koumba,"16.190311,3.707276",Sangha-Mbaéré,CF23,Nola,CF231,Nola,CF2311,2718.506728
 Koumbe,"15.552777,6.009403",Nana-Mambéré,CF22,Bouar,CF221,Herman-Brousse,CF2213,930.953266
 Koyabrou,"21.2709779999999,4.539296",Basse-Kotto,CF61,Mobaye,CF611,Mbéima,CF6112,857.013236
 Kpanba 1,"18.5347879999999,4.477101",Ombella M'Poko,CF11,Bimbo,CF111,Bimbo,CF1111,1646.950082
 Kpatara,"21.961478,4.393999",Basse-Kotto,CF61,Satéma,CF616,Kotto-Oubangui,CF6161,467.46239
 Kpeketo,"18.244278,4.180372",Lobaye,CF12,Mbaiki,CF121,Pissa,CF1213,1973.29845
 Kpete,"23.8895979999999,4.996267",Mbomou,CF62,Rafai,CF624,Rafai,CF6241,728.626523
 Kpoulou,"20.826252,4.548103",Basse-Kotto,CF61,Zangba,CF615,Ouambé,CF6151,431.369478
 Lapi 1,"21.88721,4.331904",Basse-Kotto,CF61,Satéma,CF616,Kotto-Oubangui,CF6161,483.581782
 LessÃž,"18.517168,3.895735",Lobaye,CF12,Mongoumba,CF122,Mongoumba,CF1221,340.206187
 Libala,"15.274061,4.39258",Mambéré-Kadéi,CF21,Gamboula,CF212,Basse-Boumné,CF2121,615.111902
 Lidjombo,"16.097193,2.693515",Sangha-Mbaéré,CF23,Bayanga,CF233,Yobé-Sangha,CF2331,611.205405
 Londo,"17.077428,3.625766",Sangha-Mbaéré,CF23,Bambio,CF232,Mbaéré,CF2321,805.759092
 Loungba,"23.898776,5.002107",Mbomou,CF62,Rafai,CF624,Rafai,CF6241,1326.867248
 Makembe,"22.929212,4.9036",Mbomou,CF62,Bangassou,CF621,Voungba-Balifondo,CF6213,1916.993778
 Mala,"19.509564,6.11016",Kémo,CF41,Mala,CF413,Mala,CF4131,2322.631222
 Mambele,"16.6401329999999,3.927855",Sangha-Mbaéré,CF23,Bambio,CF232,Mbaéré,CF2321,4722.123048
 Maorka,"19.6668619999999,6.662086",Nana-Gribizi,CF42,Mbrès,CF422,Mbrés,CF4221,1832.951063
 Maraba,"18.6614059999999,4.8472",Ombella M'Poko,CF11,Damara,CF112,Damara,CF1121,677.411553
 Marba,"19.589514,6.075952",Kémo,CF41,Mala,CF413,Mala,CF4131,1019.504794
 Mategba,"20.74051,4.731464",Basse-Kotto,CF61,Zangba,CF615,Yabongo,CF6152,297.838834
 Mayaka,"16.874884,5.272135",Mambéré-Kadéi,CF21,Gadzi,CF217,Mbali,CF2172,2404.152634
 Mayo-Lara 1,"14.941215,6.39793",Nana-Mambéré,CF22,Baboua,CF223,Goudrot,CF2232,425.513625
 Mbaina,"16.549354,5.168576",Mambéré-Kadéi,CF21,Gadzi,CF217,Topia,CF2171,4656.422456
 Mbata,"18.2906219999999,3.694272",Lobaye,CF12,Mbaiki,CF121,Mbata,CF1212,6796.897398
 Mbereguili,"15.532073,7.257038",Ouham Pendé,CF31,Ngaoundaye,CF315,Kodi,CF3153,729.765483
 Mbiko,"15.233408,3.935903",Mambéré-Kadéi,CF21,Dédé-Mokouba,CF216,Haute-Kadéi,CF2161,617.602529
 Mblebanda,"20.560486,5.697496",Ouaka,CF43,Bambari,CF431,Pladama-Ouaka,CF4314,468.685226
 Mboryanga,"15.593609,5.798499",Nana-Mambéré,CF22,Bouar,CF221,Zotoua-Bangarem,CF2214,570.300409
 Mbounza,"17.280332,4.331509",Lobaye,CF12,Boganda,CF125,Boganda,CF1251,380.008846
 MbrÃžs,"19.799937,6.667027",Nana-Gribizi,CF42,Mbrès,CF422,Mbrés,CF4221,6189.734745
 Mengue Bokengue,"19.191748,6.910103",Nana-Gribizi,CF42,Kaga-Bandoro,CF421,Ndenga,CF4215,2014.470007
 Monassao,"16.245272,3.250687",Sangha-Mbaéré,CF23,Bayanga,CF233,Yobé-Sangha,CF2331,3094.833717
 Mongo,"18.5683979999999,3.77177",Lobaye,CF12,Mongoumba,CF122,Mongoumba,CF1221,434.795148
 Mourou Fleuve,"19.5285359999999,5.162973",Kémo,CF41,Ndjoukou,CF414,Galabadja,CF4142,309.783455
 Nadziboro,"15.409375,5.275151",Nana-Mambéré,CF22,Abba,CF224,Nadziboro,CF2242,524.87401
 Nalimo,"16.155549,3.494285",Sangha-Mbaéré,CF23,Nola,CF231,Nola,CF2311,2678.675128
 Nangoko,"15.361528,4.250441",Mambéré-Kadéi,CF21,Gamboula,CF212,Basse-Boumné,CF2121,7130.7392
 Ndambou,"17.306798,4.327465",Lobaye,CF12,Boganda,CF125,Boganda,CF1251,368.316267
 Ndele,"20.6479989999999,8.411999",Bamingui-Bangoran,CF51,Ndélé,CF511,Dar El Kouti,CF5111,9694.506056
 Ndia,"18.54149,4.292519",Ombella M'Poko,CF11,Bimbo,CF111,Bimbo,CF1111,453.34166
 Ndiba,"19.68624,6.657368",Nana-Gribizi,CF42,Mbrès,CF422,Mbrés,CF4221,1367.663486
 Ndimba 1,"18.45618,7.47513",Ouham,CF32,Kabo,CF327,Ouaki,CF3272,386.579224
 Ndjangala,"19.8180979999999,5.754308",Ouaka,CF43,Grimari,CF433,Kobadja,CF4332,1488.541769
 Ndjo,"17.602892,5.70007",Ombella M'Poko,CF11,Bossembélé,CF115,Bossembélé,CF1151,2404.711207
 Ngabongo,"15.164505,4.903163",Mambéré-Kadéi,CF21,Amada-Gaza,CF214,Haute-Boumbé,CF2141,773.552255
 Ngaboua,"16.458485,4.848818",Mambéré-Kadéi,CF21,Gadzi,CF217,Topia,CF2171,2613.792231
 Ngalia,"21.7633,4.610944",Basse-Kotto,CF61,Kembé,CF613,Kembé,CF6131,583.601887
 Ngamongo,"14.909646,5.823615",Nana-Mambéré,CF22,Baboua,CF223,Baboua,CF2231,534.869072
 Ngandio,"15.5426319999999,3.995325",Mambéré-Kadéi,CF21,Sosso-Nakombo,CF215,Basse-Kadéi,CF2151,1265.17032
 Ngapo,"20.9020459999999,4.729721",Basse-Kotto,CF61,Zangba,CF615,Yabongo,CF6152,320.749513
 Ngbaboko,"16.1690119999999,4.660785",Mambéré-Kadéi,CF21,Carnot,CF213,Carnot,CF2131,1070.78125
 Ngbafio 1,"15.4112849999999,5.310668",Nana-Mambéré,CF22,Abba,CF224,Abba,CF2241,270.183515
 Ngbanda,"23.094334,4.829665",Mbomou,CF62,Bangassou,CF621,Zangandou,CF6214,324.576345
 Ngbando 1,"21.7311079999999,4.342946",Basse-Kotto,CF61,Satéma,CF616,Kotto-Oubangui,CF6161,822.08903
 Ngbassa 1,"21.5504779999999,4.252227",Basse-Kotto,CF61,Satéma,CF616,Kotto-Oubangui,CF6161,443.283301
 Ngonza,"23.9209059999999,4.988969",Mbomou,CF62,Rafai,CF624,Rafai,CF6241,1449.583294
 Ngopama,"18.506022,3.698151",Lobaye,CF12,Mongoumba,CF122,Mongoumba,CF1221,459.640585
 Ngotto,"17.33612,4.033818",Lobaye,CF12,Boda,CF123,Lobaye,CF1232,6205.8423
 Ngoubondo,"21.615862,6.431375",Ouaka,CF43,Ippy,CF435,Yéngou,CF4352,782.775631
 Ngoudongo 1,"19.1315999999999,6.080344",Kémo,CF41,Dékoa,CF412,Guiffa,CF4123,552.857998
 Ngouka,"18.6543439999999,4.831962",Ombella M'Poko,CF11,Damara,CF112,Damara,CF1121,289.231899
 Ngoumbeti,"18.5042,4.431416",Ombella M'Poko,CF11,Bimbo,CF111,Bimbo,CF1111,5279.421865
 Ngoungou,"16.499203,4.45223",Mambéré-Kadéi,CF21,Carnot,CF213,Senkpa-Mbaéré,CF2132,2297.776972
 Ngourkaba 1,"19.4776619999999,6.135276",Kémo,CF41,Mala,CF413,Mala,CF4131,1188.144685
 Niango 2,"20.1822839999999,7.574745",Bamingui-Bangoran,CF51,Bamingui,CF512,Vassako,CF5121,1698.472556
 Nzako,"22.864256,6.137611",Mbomou,CF62,Bakouma,CF625,Bakouma,CF6251,5214.370088
 Nzembe,"15.4399979999999,3.923608",Mambéré-Kadéi,CF21,Sosso-Nakombo,CF215,Basse-Kadéi,CF2151,405.94456
 Nzerewere,"15.648087,7.016757",Ouham Pendé,CF31,Bocaranga,CF312,Bocaranga,CF3121,4170.690923
 Ouande-Linguiri,"19.9303959999999,6.985596",Nana-Gribizi,CF42,Mbrès,CF422,Mbrés,CF4221,528.735884
 Ouatta,"16.123335,3.982216",Mambéré-Kadéi,CF21,Berbérati,CF211,Basse-Mambéré,CF2114,670.674695
 Ouhi,"20.702,8.401754",Bamingui-Bangoran,CF51,Ndélé,CF511,Dar El Kouti,CF5111,709.016761
 Pate-Mamadou,"15.6156159999999,5.728469",Nana-Mambéré,CF22,Bouar,CF221,Zotoua-Bangarem,CF2214,766.955723
 Poubati,"16.390008,7.168088",Ouham Pendé,CF31,Paoua,CF314,Banh,CF3148,1999.80714
 Poutem,"17.3087899999999,4.041141",Lobaye,CF12,Boda,CF123,Lobaye,CF1232,943.483233
 RafaÂ´,"23.928373,4.970849",Mbomou,CF62,Rafai,CF624,Rafai,CF6241,4670.879503
 Sakara-Foulbe,"15.680558,5.390819",Nana-Mambéré,CF22,Bouar,CF221,Zotoua-Bangarem,CF2214,458.862398
 Sambora,"23.6676779999999,4.956424",Mbomou,CF62,Rafai,CF624,Rafai,CF6241,1865.339738
 Sanda Boguera,"15.456402,5.236147",Nana-Mambéré,CF22,Abba,CF224,Nadziboro,CF2242,306.849421
 Sanyele,"17.229322,4.577997",Lobaye,CF12,Boganda,CF125,Boganda,CF1251,339.084817
 Sosso-Nakombo,"15.496017,3.909855",Mambéré-Kadéi,CF21,Sosso-Nakombo,CF215,Basse-Kadéi,CF2151,4252.378021
 Soumba Boyare,"15.602819,5.063688",Nana-Mambéré,CF22,Abba,CF224,Nadziboro,CF2242,298.774436
 Takamala,"22.4597279999999,10.234144",Vakaga,CF53,Birao,CF531,Ridina,CF5311,494.559341
 Tedoa,"16.4906879999999,5.551529",Nana-Mambéré,CF22,Baoro,CF222,Bawi Tédoa,CF2221,1941.502591
 Tilo,"19.227944,6.297644",Kémo,CF41,Dékoa,CF412,Tilo,CF4122,1230.857632
 Unknown,"15.604322,4.087678",Mambéré-Kadéi,CF21,Sosso-Nakombo,CF215,Basse-Kadéi,CF2151,995.7359
 Unknown 15,"17.0831939999999,4.200098",Lobaye,CF12,Boganda,CF125,Boganda,CF1251,315.699657
