,VillageAll,GPS.point,admin1Name,admin1Pcod,admin2,admin2Pcod,admin3Name,admin3Pcod,TotalPop_fixe,VillageAll_test,VillageAll_admin2
1, Abbo Boyafe,"15.464091,5.207386",Nana-Mambï¿½,CF22,Abba,CF224,Nadziboro,CF2242,411.824223,abboboyafe,abboboyafe _ Abba
2, Adoum,"20.5684359999999,5.834778",Ouaka,CF43,Bambari,CF431,Pladama-Ouaka,CF4314,858.37856,adoum,adoum _ Bambari
3, Amada-Gaza,"15.1956019999999,4.772098",Mambï¿½ï¿½ï¿½,CF21,Amada-Gaza,CF214,Haute-Boumbï,CF2141,2928.447822,amada-gaza,amada-gaza _ Amada-Gaza
4, Amani,"21.9801919999999,4.652996",Mbomou,CF62,Gambo,CF623,Gambo,CF6231,613.180597,amani,amani _ Gambo
5, Ambang,"15.337197,3.77884",Mambï¿½ï¿½ï¿½,CF21,Dede-Mokouba,CF216,Haute-Kadï¿,CF2161,1812.962263,ambang,ambang _ Dede-Mokouba
6, Ambauchure,"18.582974,3.678799",Lobaye,CF12,Mongoumba,CF122,Mongoumba,CF1221,422.372429,ambauchure,ambauchure _ Mongoumba
7, Anafio,"17.3256799999999,6.896445",Ouham,CF32,Nana-Bakassa,CF322,Nana-Bakassa,CF3221,3331.246787,anafio,anafio _ Nana-Bakassa
8, Aradi,"15.327247,4.540679",Mambï¿½ï¿½ï¿½,CF21,Berberati,CF211,Ouakanga,CF2113,2195.027237,aradi,aradi _ Berberati
9, Army,"22.611547,10.3675029999999",Vakaga,CF53,Birao,CF531,Ridina,CF5311,317.733655,army,army _ Birao
10, Assoulemaka,"19.661434,6.031003",Kï¿½,CF41,Mala,CF413,Mala,CF4131,988.842996,assoulemaka,assoulemaka _ Mala
11, Babanon,"18.332798,5.825515",Ouham,CF32,Bouca,CF325,Fafa Boungou,CF3254,993.745497,babanon,babanon _ Bouca
13, Babili,"17.230072,4.601566",Lobaye,CF12,Boganda,CF125,Boganda,CF1251,415.086586,babili,babili _ Boganda
14, Babongo,"16.262001,3.002364",Sangha-Mbaï¿½,CF23,Bayanga,CF233,Yobï¿½ï¿½ï¿,CF2331,446.276962,babongo,babongo _ Bayanga
15, Bac Lim,"15.526628,7.286493",Ouham Pendï,CF31,Ngaoundaye,CF315,Kodi,CF3153,2565.701802,baclim,baclim _ Ngaoundaye
16, Bac-Lobe,"18.425048,3.687927",Lobaye,CF12,Mongoumba,CF122,Mongoumba,CF1221,944.126607,bac-lobe,bac-lobe _ Mongoumba
17, Badakou,"22.8082959999999,4.782067",Mbomou,CF62,Bangassou,CF621,Sayo Niakari,CF6212,395.958842,badakou,badakou _ Bangassou
18, Badangafou,"16.6892649999999,5.58135",Ombella M'Poko,CF11,Yaloke,CF116,Guï¿½ï¿,CF1162,1137.992142,badangafou,badangafou _ Yaloke
19, Bagandou,"17.8486219999999,3.745663",Lobaye,CF12,Mbaiki,CF121,Moboma,CF1217,4196.021962,bagandou,bagandou _ Mbaiki
20,LEMANA 3,"20.690172,8.459111",Bamingui-Bangoran,CF51,Ndele,CF511,Dar El Kouti,CF5111,473.908647,lemana3,lemana3 _ Ndele
21, Bagoua,"17.3616899999999,4.071813",Lobaye,CF12,Boda,CF123,Lobaye,CF1232,935.349757,bagoua,bagoua _ Boda
22, Bagoudou,"15.2452109999999,3.935581",Mambï¿½ï¿½ï¿½,CF21,Dede-Mokouba,CF216,Haute-Kadï¿,CF2161,3874.957804,bagoudou,bagoudou _ Dede-Mokouba
23, Bakaba,"17.219096,7.312322",Ouham,CF32,Markounda,CF323,Nana Markounda,CF3231,274.105013,bakaba,bakaba _ Markounda
24, Bakala,"20.3882319999999,6.193155",Ouaka,CF43,Bakala,CF432,Koudou-Bï¿½,CF4321,2759.683385,bakala,bakala _ Bakala
25, Bakoa,"19.7668199999999,5.754252",Ouaka,CF43,Grimari,CF433,Kobadja,CF4332,1591.199822,bakoa,bakoa _ Grimari
26, Bakobo,"15.678811,3.402976",Sangha-Mbaï¿½,CF23,Nola,CF231,Bilolo,CF2312,678.862424,bakobo,bakobo _ Nola
27, Bakongo,"19.152204,5.739337",Kï¿½,CF41,Sibut,CF411,Ngoumbele,CF4112,3472.820522,bakongo,bakongo _ Sibut
28, Bakouma,"22.781732,5.701929",Mbomou,CF62,Bakouma,CF625,Bakouma,CF6251,5903.271829,bakouma,bakouma _ Bakouma
29, Bakpara,"18.761576,5.010543",Ombella M'Poko,CF11,Damara,CF112,Damara,CF1121,783.970673,bakpara,bakpara _ Damara
30, Balekete (Azene),"19.896408,6.937158",Nana-Gribizi,CF42,Mbres,CF422,Mbrï¿,CF4221,493.486825,balekete(azene),balekete(azene) _ Mbres
31, Balembe 2,"16.363723,5.590587",Nana-Mambï¿½,CF22,Baoro,CF222,Bawi Tï¿½ï,CF2221,606.01815,balembe2,balembe2 _ Baoro
33, Balidou 1,"21.00214,4.670809",Basse-Kotto,CF61,Zangba,CF615,Ouambï,CF6151,313.09075,balidou1,balidou1 _ Zangba
35, Bambarassa,"22.7614659999999,4.82055",Mbomou,CF62,Bangassou,CF621,Sayo Niakari,CF6212,879.702927,bambarassa,bambarassa _ Bangassou
36, Bamina,"15.6587169999999,3.404509",Sangha-Mbaï¿½,CF23,Nola,CF231,Bilolo,CF2312,1400.827224,bamina,bamina _ Nola
37, Bananga,"16.8265579999999,7.195985",Ouham,CF32,Nangha-Boguila,CF324,Nangha Boguila,CF3241,867.303785,bananga,bananga _ Nangha-Boguila
38, Banda,"21.7507179999999,4.344466",Basse-Kotto,CF61,Satema,CF616,Kotto-Oubangui,CF6161,4549.799955,banda,banda _ Satema
40, Banda-Fara,"21.29391,4.498012",Basse-Kotto,CF61,Mobaye,CF611,Mbï¿½ï,CF6112,1276.949721,banda-fara,banda-fara _ Mobaye
41, Bando,"21.071918,5.161923",Basse-Kotto,CF61,Alindao,CF612,Bangui-Kettï,CF6123,952.618862,bando,bando _ Alindao
43, Banga 1,"19.464092,5.784245",Kï¿½,CF41,Sibut,CF411,Ngoumbele,CF4112,529.988674,banga1,banga1 _ Sibut
44, Bango 2,"19.6511479999999,5.169203",Kï¿½,CF41,Ndjoukou,CF414,Galabadja,CF4142,1098.32316,bango2,bango2 _ Ndjoukou
45, Bangoto,"16.748908,3.962393",Sangha-Mbaï¿½,CF23,Bambio,CF232,Mbaï¿½,CF2321,399.756448,bangoto,bangoto _ Bambio
46, Bangui 2e,"18.560752,4.360586",Bangui,CF71,Bangui,CF711,Arrondissement 2,CF7112,172891.8713,bangui2e,bangui2e _ Bangui
47, Bangui 3e,"18.540327,4.374509",Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,214046.2964,bangui3e,bangui3e _ Bangui
48, Bangui 4e,"18.5608059999999,4.406503",Bangui,CF71,Bangui,CF711,Arrondissement 4,CF7114,119108.4638,bangui4e,bangui4e _ Bangui
49, Bangui 5e,"18.5467769999999,4.385571",Bangui,CF71,Bangui,CF711,Arrondissement 5,CF7115,47025.23337,bangui5e,bangui5e _ Bangui
50, Bangui 6e,"18.538761,4.345934",Bangui,CF71,Bangui,CF711,Arrondissement 6,CF7116,100650.4114,bangui6e,bangui6e _ Bangui
51, Bangui 7e,"18.622489,4.374214",Bangui,CF71,Bangui,CF711,Arrondissement 7,CF7117,45566.21555,bangui7e,bangui7e _ Bangui
52, Bangui 8e,"18.536311,4.410511",Bangui,CF71,Bangui,CF711,Arrondissement 8,CF7118,102018.6169,bangui8e,bangui8e _ Bangui
53, Basse Kouma,"19.431066,6.176633",Kï¿½,CF41,Mala,CF413,Mala,CF4131,2684.035065,bassekouma,bassekouma _ Mala
54, Basse-Kotto,"22.6503699999999,4.700153",Mbomou,CF62,Ouango,CF622,Ouango,CF6221,1842.435771,basse-kotto,basse-kotto _ Ouango
55, Batonde,"17.0507139999999,4.278819",Lobaye,CF12,Boganda,CF125,Boganda,CF1251,2519.750966,batonde,batonde _ Boganda
56, Bawi,"16.247553,5.606684",Nana-Mambï¿½,CF22,Baoro,CF222,Bawi Tï¿½ï,CF2221,852.914433,bawi,bawi _ Baoro
58, Bayanga,"16.274837,2.910364",Sangha-Mbaï¿½,CF23,Bayanga,CF233,Yobï¿½ï¿½ï¿,CF2331,3143.342082,bayanga,bayanga _ Bayanga
59, Bayanga Didi,"15.794893,5.306993",Nana-Mambï¿½,CF22,Baoro,CF222,Yoro-Samba Bougoulou,CF2222,1269.235197,bayangadidi,bayangadidi _ Baoro
60, Bayelaka,"19.1149139999999,6.131304",Kï¿½,CF41,Dekoa,CF412,Guiffa,CF4123,2925.004524,bayelaka,bayelaka _ Dekoa
62, Bazoli,"17.1045319999999,7.445924",Ouham,CF32,Markounda,CF323,Nana Markounda,CF3231,382.085776,bazoli,bazoli _ Markounda
63, Be,"15.552149,4.04661",Mamb,CF21,Sosso-Nakombo,CF215,Basse-Kadï¿,CF2151,738.01602,be,bena-doemo_Sosso_Nakombo
64, Bedin,"16.939864,7.20454",Ouham,CF32,Nangha-Boguila,CF324,Nangha Boguila,CF3241,768.400722,bedin,bedin _ Nangha-Boguila
65, Beferan,"16.9858319999999,7.329259",Ouham,CF32,Markounda,CF323,Nana Markounda,CF3231,980.133078,beferan,beferan _ Markounda
67, Bego,"15.345325,4.578795",Mambï¿½ï¿½ï¿½,CF21,Berberati,CF211,Ouakanga,CF2113,682.897363,bego,bego _ Berberati
68, Begou,"19.118386,6.364303",Kï¿½,CF41,Dekoa,CF412,Tilo,CF4122,1412.885874,begou,begou _ Dekoa
70, Beiya-Gbakounde,"15.594924,5.75908",Nana-Mambï¿½,CF22,Bouar,CF221,Zotoua-Bangarem,CF2214,360.534741,beiya-gbakounde,beiya-gbakounde _ Bouar
71, Bekagomi,"17.289724,4.764314",Lobaye,CF12,Boganangone,CF124,Boganangone,CF1241,1502.550955,bekagomi,bekagomi _ Boganangone
72, Beko,"15.333455,3.872242",Mambï¿½ï¿½ï¿½,CF21,Dede-Mokouba,CF216,Haute-Kadï¿,CF2161,896.5198,beko,beko _ Dede-Mokouba
73, Belanga,"15.107942,5.795846",Nana-Mambï¿½,CF22,Baboua,CF223,Fo,CF2235,754.412636,belanga,belanga _ Baboua
74, Belemboke,"16.216068,3.380194",Sangha-Mbaï¿½,CF23,Nola,CF231,Nola,CF2311,1204.905913,belemboke,belemboke _ Nola
75, Belemboke 4,"16.222307,3.412311",Sangha-Mbaï¿½,CF23,Nola,CF231,Nola,CF2311,408.273904,belemboke4,belemboke4 _ Nola
76, Bende,"17.413902,6.706772",Ouham,CF32,Nana-Bakassa,CF322,Nana-Bakassa,CF3221,1770.068425,bende,bende _ Nana-Bakassa
77, Bendoui,"17.298238,6.958238",Ouham,CF32,Nana-Bakassa,CF322,Nana-Bakassa,CF3221,1253.340375,bendoui,bendoui _ Nana-Bakassa
79, Benguere,"21.7441719999999,4.610301",Basse-Kotto,CF61,Kembe,CF613,Kembï,CF6131,1645.335441,benguere,benguere _ Kembe
80, Bengues,"22.4349419999999,10.203859",Vakaga,CF53,Birao,CF531,Ridina,CF5311,464.167426,bengues,bengues _ Birao
81, Berberati,"15.7875289999999,4.255473",Mambï¿½ï¿½ï¿½,CF21,Berberati,CF211,Basse-Batouri,CF2115,7711.565557,berberati,berberati _ Berberati
82, Beya,"16.194292,3.334294",Sangha-Mbaï¿½,CF23,Nola,CF231,Salo,CF2313,2839.875449,beya,beya _ Nola
84, Bidjo,"15.948212,3.457909",Sangha-Mbaï¿½,CF23,Nola,CF231,Bilolo,CF2312,592.657672,bidjo,bidjo _ Nola
85, Bidou 2,"21.6826219999999,4.435024",Basse-Kotto,CF61,Kembe,CF613,Mboui,CF6132,1139.848773,bidou2,bidou2 _ Kembe
86, Bila,"19.54689,6.100629",Kï¿½,CF41,Mala,CF413,Mala,CF4131,1671.068008,bila,bila _ Mala
87, Bindi,"19.1441659999999,5.873855",Kï¿½,CF41,Sibut,CF411,Ngoumbele,CF4112,732.221194,bindi,bindi _ Sibut
88, Binoumbi,"15.3585049999999,3.839451",Mambï¿½ï¿½ï¿½,CF21,Dede-Mokouba,CF216,Haute-Kadï¿,CF2161,1006.094443,binoumbi,binoumbi _ Dede-Mokouba
89, Biranga,"17.2445899999999,7.287041",Ouham,CF32,Markounda,CF323,Nana Markounda,CF3231,490.066539,biranga,biranga _ Markounda
90, Blakadja,"19.616736,6.678872",Nana-Gribizi,CF42,Mbres,CF422,Mbrï¿,CF4221,1980.997111,blakadja,blakadja _ Mbres
91, Boakana,"19.424674,5.751052",Kï¿½,CF41,Sibut,CF411,Ngoumbele,CF4112,1150.633306,boakana,boakana _ Sibut
92, Boakana 2,"19.5806739999999,5.798592",Kï¿½,CF41,Sibut,CF411,Ngoumbele,CF4112,822.877152,boakana2,boakana2 _ Sibut
93, Boambali 1,"19.5566859999999,5.795727",Kï¿½,CF41,Sibut,CF411,Ngoumbele,CF4112,1324.971685,boambali1,boambali1 _ Sibut
94, Boanga,"19.088722,6.350925",Kï¿½,CF41,Dekoa,CF412,Dekoa,CF4121,1826.855542,boanga,boanga _ Dekoa
98, Boban,"18.3322159999999,5.472672",Ombella M'Poko,CF11,Bogangolo,CF113,Bogangolo,CF1131,1297.533869,boban,boban _ Bogangolo
99, Bobayoko,"14.903484,4.786821",Mambï¿½ï¿½ï¿½,CF21,Amada-Gaza,CF214,Haute-Boumbï,CF2141,1036.007484,bobayoko,bobayoko _ Amada-Gaza
100, Bobazi,"18.343762,7.312588",Ouham,CF32,Batangafo,CF326,Ouassi,CF3264,437.594846,bobazi,bobazi _ Batangafo
101, Bobete,"17.17913,7.394551",Ouham,CF32,Markounda,CF323,Nana Markounda,CF3231,423.616839,bobete,bobete _ Markounda
102, Bobingui,"18.293994,5.73411",Ombella M'Poko,CF11,Bogangolo,CF113,Bogangolo,CF1131,616.698607,bobingui,bobingui _ Bogangolo
103, Bobo,"22.450986,4.18976",Mbomou,CF62,Ouango,CF622,Ngbandinga,CF6222,2826.797727,bobo,bobo _ Ouango
104, Boboro,"15.89532,7.062204",Ouham Pendï,CF31,Bocaranga,CF312,Loura,CF3122,3458.647748,boboro,boboro _ Bocaranga1
105, Bocongo,"16.4582729999999,6.215777",Ouham Pendï,CF31,Bossemtele,CF316,Binon,CF3161,567.971735,bocongo,bocongo _ Bossemtele
106, Boda,"17.4669309999999,4.315275",Lobaye,CF12,Boda,CF123,Lobaye,CF1232,16022.94801,boda,boda _ Boda
107, Bodea,"18.3143759999999,7.238261",Ouham,CF32,Batangafo,CF326,Ouassi,CF3264,769.397531,bodea,bodea _ Batangafo
108, Bodele,"18.3442499999999,6.638958",Ouham,CF32,Bouca,CF325,Lady Gbawi,CF3252,744.160585,bodele,bodele _ Bouca
109, Bodjomo,"17.136638,7.418152",Ouham,CF32,Markounda,CF323,Nana Markounda,CF3231,1162.869754,bodjomo,bodjomo _ Markounda
110, Bodjoula,"17.28454,4.488239",Lobaye,CF12,Boganda,CF125,Boganda,CF1251,1268.644918,bodjoula,bodjoula _ Boganda
111, Bodoua,"18.2619979999999,5.663509",Ombella M'Poko,CF11,Bogangolo,CF113,Bogangolo,CF1131,271.347387,bodoua,bodoua _ Bogangolo
112, Bodoukpa 2,"17.814456,5.087302",Ombella M'Poko,CF11,Bossembele,CF115,Bossembï¿½,CF1151,685.983448,bodoukpa2,bodoukpa2 _ Bossembele
113, Bofforo,"16.2476069999999,6.153826",Ouham Pendï,CF31,Bossemtele,CF316,Binon,CF3161,513.672258,bofforo,bofforo _ Bossemtele
114, Bogale,"17.26283,7.256756",Ouham,CF32,Markounda,CF323,Nana Markounda,CF3231,290.717438,bogale,bogale _ Markounda
115, Bogali,"17.388394,5.22588",Ombella M'Poko,CF11,Bossembele,CF115,Bossembï¿½,CF1151,963.464933,bogali,bogali _ Bossembele
116, Bogama 1,"18.7292759999999,7.251661",Ouham,CF32,Kabo,CF327,Ouaki,CF3272,483.22403,bogama1,bogama1 _ Kabo
117, Boganado,"17.29069,4.54085",Lobaye,CF12,Boganda,CF125,Boganda,CF1251,374.162557,boganado,boganado _ Boganda
118, Boganangone,"17.199268,4.683594",Lobaye,CF12,Boganangone,CF124,Boganangone,CF1241,2599.007058,boganangone,boganangone _ Boganangone
119, Bogangolo,"18.243808,5.572356",Ombella M'Poko,CF11,Bogangolo,CF113,Bogangolo,CF1131,2881.215892,bogangolo,bogangolo _ Bogangolo
120, Bogani,"17.923676,4.979422",Ombella M'Poko,CF11,Boali,CF114,Boali,CF1141,1253.378556,bogani,bogani _ Boali
121, Boganli 1,"18.3284139999999,5.412494",Ombella M'Poko,CF11,Bogangolo,CF113,Bogangolo,CF1131,355.218398,boganli1,boganli1 _ Bogangolo
122, Bogazi,"18.0597579999999,4.814253",Ombella M'Poko,CF11,Boali,CF114,Boali,CF1141,603.900577,bogazi,bogazi _ Boali
123, Bogbaya 1,"18.7925779999999,4.451282",Ombella M'Poko,CF11,Bimbo,CF111,Bimbo,CF1111,814.867288,bogbaya1,bogbaya1 _ Bimbo
124, Bogodo Kete,"17.0716439999999,7.029308",Ouham,CF32,Nangha-Boguila,CF324,Nangha Boguila,CF3241,410.828109,bogodokete,bogodokete _ Nangha-Boguila
125, Bogoin 1,"17.844666,5.059296",Ombella M'Poko,CF11,Bossembele,CF115,Bossembï¿½,CF1151,881.978719,bogoin1,bogoin1 _ Bossembele
126, Bogoin 2,"18.38466,6.006177",Ouham,CF32,Bouca,CF325,Fafa Boungou,CF3254,408.38856,bogoin2,bogoin2 _ Bouca
127, Bogombo,"18.388666,5.319057",Ombella M'Poko,CF11,Bogangolo,CF113,Bogangolo,CF1131,335.484042,bogombo,bogombo _ Bogangolo
128, Bogone 3,"16.8595599999999,7.060319",Ouham,CF32,Nangha-Boguila,CF324,Nangha Boguila,CF3241,585.810451,bogone3,bogone3 _ Nangha-Boguila
129, Bogoto,"17.183962,4.841219",Lobaye,CF12,Boganangone,CF124,Boganangone,CF1241,730.970735,bogoto,bogoto _ Boganangone
130, Bogoula,"18.20419,4.665063",Ombella M'Poko,CF11,Boali,CF114,Boali,CF1141,3828.50177,bogoula,bogoula _ Boali
131, Boguela,"17.076516,7.020593",Ouham,CF32,Nangha-Boguila,CF324,Nangha Boguila,CF3241,540.162884,boguela,boguela _ Nangha-Boguila
132, Boguera,"17.150562,4.888288",Lobaye,CF12,Boganangone,CF124,Boganangone,CF1241,6565.20012,boguera,boguera _ Boganangone
133, Boguila-Kete,"16.8048959999999,7.208004",Ouham,CF32,Nangha-Boguila,CF324,Nangha Boguila,CF3241,365.180541,boguila-kete,boguila-kete _ Nangha-Boguila
134, Boguilo,"18.4002419999999,6.048974",Ouham,CF32,Bouca,CF325,Fafa Boungou,CF3254,1368.101677,boguilo,boguilo _ Bouca
135, Bohere,"18.5728979999999,4.560243",Ombella M'Poko,CF11,Bimbo,CF111,Bimbo,CF1111,829.670332,bohere,bohere _ Bimbo
136, Boho,"17.134962,5.180325",Ombella M'Poko,CF11,Yaloke,CF116,Yalokï,CF1161,580.000441,boho,boho _ Yaloke
137, Bokane,"18.192802,4.697102",Ombella M'Poko,CF11,Boali,CF114,Boali,CF1141,1293.258783,bokane,bokane _ Boali
138, Bokede 1,"17.1805659999999,5.27668",Ombella M'Poko,CF11,Yaloke,CF116,Yalokï,CF1161,794.81542,bokede1,bokede1 _ Yaloke
140, Boko,"15.429733,7.297761",Ouham Pendï,CF31,Ngaoundaye,CF315,Kodi,CF3153,1482.576191,boko,boko _ Ngaoundaye
142, Bokoma,"17.8719059999999,3.725109",Lobaye,CF12,Mbaiki,CF121,Moboma,CF1217,670.985494,bokoma,bokoma _ Mbaiki
143, Bokossin,"19.17639,5.73503",Kï¿½,CF41,Sibut,CF411,Ngoumbele,CF4112,2343.107822,bokossin,bokossin _ Sibut
144, Bokote-Alato,"16.83191,7.18951",Ouham,CF32,Nangha-Boguila,CF324,Nangha Boguila,CF3241,730.361082,bokote-alato,bokote-alato _ Nangha-Boguila
145, Bokoute,"19.4977839999999,6.128788",Kï¿½,CF41,Mala,CF413,Mala,CF4131,4622.266096,bokoute,bokoute _ Mala
146, Bokoute 2,"19.181888,5.721603",Kï¿½,CF41,Sibut,CF411,Ngoumbele,CF4112,550.90928,bokoute2,bokoute2 _ Sibut
147, Bokpata 1,"17.420966,6.655204",Ouham,CF32,Nana-Bakassa,CF322,Nana-Bakassa,CF3221,2451.709682,bokpata1,bokpata1 _ Nana-Bakassa
148, Bolitoua,"18.661082,5.031428",Ombella M'Poko,CF11,Damara,CF112,Damara,CF1121,300.648947,bolitoua,bolitoua _ Damara
